"date","age","domaine","connaissanceiascale","connaissezvousia","siouilesquelles","emotionstransmises","why","iareplaceartiste","whytwo"
"2023/01/27 11:44:33 AM UTC+1","18 - 25","Musique;Peinture / Dessin","1","Non","","Non","","Non",""
"2023/01/27 11:47:36 AM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma","6","Oui","Je ne connais pas le nom ms j ai entendu parler d  une expo de peinture faite par ia","Oui","Par l effet de surprise, ","Non","Je ne le souhaite pas mais peut être en fait... "
"2023/01/27 11:50:40 AM UTC+1","18 - 25","Musique;Peinture / Dessin;Littérature;Cinéma","4","Non","","Non","Les émotions sont une partie interne des êtres-vivants, une IA ne peut pas en avoir les capacités ou alors elles ne seront que fictives.","Non","A cause des émotions, de la pensée. L’art sert à exprimer quelque chose de profond."
"2023/01/27 11:53:03 AM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature","4","Non","","Non","Les émotions se ressentent ","Non","En raison de l’absence d’émotivité "
"2023/01/27 11:53:05 AM UTC+1","18 - 25","Musique;Littérature;Cinéma","5","Oui","Robot sculpteur ","Non","Que de la technique pas d’interprétation ","Non",""
"2023/01/27 11:56:39 AM UTC+1","40 - 49","Peinture / Dessin","5","Oui","Midjourney","Oui","Il faut réussir à restituer en mots ce que l’on veut représenter exactement ","Non","Pour le moment l’ia n’est pas capable d’émotions "
"2023/01/27 12:17:51 PM UTC+1","18 - 25","Musique","8","Oui","J’ai plus le nom mais c’est dans mes favs tiktok","Oui","/","Non","Dimension humaine"
"2023/01/27 12:19:54 PM UTC+1","18 - 25","Musique;Peinture / Dessin;Cinéma","7","Oui","IA ACSII","Oui","peut générer des choses auxquelles tu es sensible, qui sont inspirés de vrais artistes ","Non","pas de conscience humaine et même si c’est programmé par des humains une IA ça reste très bête "
"2023/01/27 12:34:16 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Cinéma","8","Oui","Composition de musiques, adapter un fond d’écran à une musique","Oui","Plus on avance, plus l’IA pense et agit comme l’homme","Oui","Même réponse que précédemment "
"2023/01/27 12:42:05 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Cinéma","8","Oui","des musées  ont developpe des trucs intéressants pendant le confinement ","Oui","L ai peut transformer  un truc moche en truc joli ou un truc quelconque (une photo par ex) en super tableau avec le style d’un artiste , magnifique (développé par un de mes collègues data scientist)","Oui","Dupliquer, transformer: c’est gagné!"
"2023/01/27 12:50:47 PM UTC+1","18 - 25","Musique;Littérature;Cinéma","5","Non","","Oui","S’il y a des visages, en fonction du regard ","Non","L’art ne doit pas être remplacer par un robot car c’est un métier plein de rebondissement et un robot ne peut pas les gérer comme un humain "
"2023/01/27 1:04:22 PM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature","5","Non","","Oui"," ","Non"," "
"2023/01/27 1:16:33 PM UTC+1","60 ou plus","Cinéma","3","Non","","Non","","Non","L’IA ne peux pas déclencher de l’émotion "
"2023/01/27 1:23:31 PM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma","5","Non","","Non","","Non",""
"2023/01/27 1:39:25 PM UTC+1","50 - 59","Peinture / Dessin;Littérature;Cinéma","3","Non","","Non","L'IA ne peut remplacer l'humain ","Non","L'artiste révèle ses sentiments et son affect à travers l'art."
"2023/01/27 2:01:26 PM UTC+1","18 - 25","Musique;Littérature;Cinéma","4","Non","","Non","Les émotions sont propres à l'être-humain.","Non","Il n'y a pas la même émotion."
"2023/01/27 2:02:06 PM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma;Théâtre ","3","Oui","Reface","Oui","Effet de surprise/ capacité de l'homme à projeter ses propres émotions sur un autre support ","Non","Créativité/originalité/conviction "
"2023/01/27 2:09:36 PM UTC+1","40 - 49","Littérature","2","Non","","Non","","Non",""
"2023/01/27 2:14:40 PM UTC+1","30 - 39","Musique;Cinéma","3","Non","","Oui","Un savant mélange qui suscite l'emotion peut être reproductible","Non","Ponctuellement peut être mais pas définitivement "
"2023/01/27 2:37:19 PM UTC+1","60 ou plus","Musique;Peinture / Dessin;Littérature;Cinéma","1","Non","","Non","Pcq derrière, il n’y a pas un être pensant! ","Non","Même raison: il faut de l’émotion et des sentiments"
"2023/01/27 3:22:24 PM UTC+1","18 - 25","Musique","6","Non","","Oui","Oui, elle peut réussir à faire passer des messages à travers les oeuvres, parfois on n’arrivera pas à faire la distinction avec un vrai artiste","Non",""
"2023/01/27 4:35:06 PM UTC+1","40 - 49","Littérature;Cinéma","7","Oui","Peut-être ChatGPT ?","Oui","Peut-être que l'IA peut  transmettre des émotions par l'oeuvre qu il crée (mais œuvre créée de manière rationnelle)","Non","Je ne pense pas que l' IA soit capable de parler et d'échanger sur les émotions ressenties avec le public. Pas de discussion possible. Pour moi l'IA est une prouesse technologique mais on ne peut pas lui donner d'émotions...."
"2023/01/27 4:51:01 PM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma;Théâtre Chant Danse Cirque","2","Non","","Oui","Je devine qu'elle aura été suffisamment bien programmée (richement) pr pouvoir proposer une foultitude de résultats voulus par ses créateurs.trices.","Non","Car l'art sans humanité ne m'intéresse pas ! C'est petit."
"2023/01/27 4:53:02 PM UTC+1","50 - 59","Littérature;Cinéma","3","Non","","Non","La sensibilité est le propre de l’artiste ","Non","La capacité à émouvoir , à créer et imaginer relève de l’artiste "
"2023/01/27 5:51:58 PM UTC+1","17 ou moins","Aucun;Cinéma","5","Non","","Oui","Jsp mon gars ","Oui","Car l’ia est très forte 💪 "
"2023/01/27 5:52:02 PM UTC+1","18 - 25","Musique;Peinture / Dessin;Littérature;Cinéma","5","Non","","Oui","","Non",""
"2023/01/27 6:16:54 PM UTC+1","50 - 59","Peinture / Dessin","3","Non","","Non","Une machine....","Non","L'humain "
"2023/01/27 6:35:07 PM UTC+1","18 - 25","Musique;Cinéma","6","Non","","Non","Selon moi l'IA peut répéter des gestes techniques mais ne peut pas mettre une émotion particulière derrière ses gestes ","Non","l'IA recopie et modifie des types d'art déjà existants mais ne peut pas innover, comme un artiste le pourrait, il manquerait l'originalité "
"2023/01/27 6:45:56 PM UTC+1","18 - 25","Musique;Peinture / Dessin;Littérature;Cinéma","10","Oui","ONIZUKA , CHATGPT , ORIO , BLUE ","Oui","pourquoi pas ?","Oui","pourquoi pas ?"
"2023/01/27 6:46:02 PM UTC+1","18 - 25","Musique;Littérature;Cinéma","8","Non","","Non","Robot sans émotions ","Oui","Beauté de l'oeuvre, précision et qualité
"
"2023/01/27 8:20:28 PM UTC+1","40 - 49","Musique;Littérature;Cinéma","3","Oui","Midjourney","Non","Elle n’a pas l’expérience sensorielle et émotionnelle d’une personne.","Non","Elle ne connaît ni émotion ni sensation."
"2023/01/27 9:45:05 PM UTC+1","60 ou plus","Musique;Peinture / Dessin;Cinéma","2","Non","","Non","L' IA va probablement ""créer"" une ""oeuvre"", des images, répondant aux critères définis dans le dialogue, va chercher son inspiration dans des bases de données, des algorithmes...
Ou alors, l'IA  pourra ""prendre des libertés"" et donner un résultat dont le rapport avec l'humain sera incontrôlé, pas forcément hors sujet, et ne répondant pas aux attentes. 
A travers les siècles, des créateurs ont fait évoluer l'art, à partir de "" ressentis"" du moment, et l'IA, n'aura pas cette sensibilité, ces émotions.","Non","L''IA, n'est pas faite pour ça, mais elle pourra produire des avatars par milliers, 
La définition de l'art est: "" faire des œuvres humaines destinées à toucher les sens et les émotions du public"". "
"2023/01/27 10:13:35 PM UTC+1","40 - 49","Musique;Littérature;Cinéma","7","Non","","Oui","Pourquoi pas ? ","Oui","Selon son niveau d’évolution…."
"2023/01/27 11:25:18 PM UTC+1","40 - 49","Musique;Peinture / Dessin","8","Oui","Midjourney Stable diffusion Discodiffusion","Oui","L'i.a n'est qu'un instrument artificiel ;) l'outil ne fait pas le synthographe. L'i.a est un peu comme un appareil photo. Cf les artistes synthographes synthographie.fr","","L'outil ne fait pas l'artiste"
"2023/01/28 8:27:07 AM UTC+1","40 - 49","Musique;Littérature;Cinéma","6","Oui","Dessein et représentation de rêve ","Oui","A partir du moment où l'IA permet de représenter un tableau, une œuvre, il peut transmettre des émotions.","Oui","Par définition, l'IA apprend. Donc de là il peut faire évoluer ses œuvres. On serait tenter de penser qu'il a besoin d'artistes humains pour trouver de nouvelles inspirations mais pourquoi pas d'autres IA?"
"2023/01/28 10:21:35 AM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma","0","Non","","Oui","","Non",""
"2023/01/28 12:52:17 PM UTC+1","50 - 59","Peinture / Dessin","5","Oui","Les reseaux antagonistes génératifs","Oui","Car elle se base sur un grand nombre d'œuvres humaines qui produisent des émotions.","Non","Car l'IA ne comprend pas ce qu'elle produit, ni pourquoi elle le fait. Par contre lA peut être un outil pour l'artiste humain."
"2023/01/28 1:45:47 PM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma","1","Non","","Non","","Non",""
"2023/01/28 9:27:43 PM UTC+1","40 - 49","Musique;Cinéma;théâtre ","4","Non","","Non","Parce que ressentir des émotions est le propre de l'homme et le différencie du reste des êtres vivants à fortiori des machines. Et parce que le geste artistique est une émotion. C'est pour cela que l'émotion peut toucher le public. ","Non","J'imagine qu'une IA ne peut que reproduire  ou n'avoir qu'un geste technique. ce geste techniquement artistique pourra peut être transmettre une émotion mais j'ose espérer quˋ'elle n'aura jamais la sincérité,  la véracité, la qualité émotionnelle du geste artistique humain. l'émotion que l'artiste partage vient directement de ses tripes; de ce qu'il vit en tant qu'humain, des propres doutes, émerveillement, joies, colère etc. Et cela ne remplace pas."
"2023/01/28 10:15:23 PM UTC+1","40 - 49","Musique;Littérature","0","Non","","Non","??","Non","??"
"2023/01/31 3:52:20 PM UTC+1","40 - 49","Littérature;Théâtre ","5","Non","","Non","Je pense que les émotions sont un sujet profondément humain. ","Oui","Oui, pour créer une œuvre, mais pas en y intégrant le côté émotionnel. "
"2023/01/31 4:34:57 PM UTC+1","18 - 25","Musique;Peinture / Dessin;Littérature;Cinéma","3","Non","","Non","Cela me paraît difficile qu'elle soit capable de transmettre des émotions qu'un humain peut transmettre à d'autres humains.","Non","Un être humain ne pourra pas être totalement remplacé par une intelligence artificielle."
"2023/01/31 8:20:47 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Littérature;Cinéma;Sculpture","5","Oui","Création de chanson. Création de musique. Création littéraire (nouvelle)","Oui","Oui, je pense que c'est possible en partie. Notamment dans les domaines de l'art abstrait où ce que l'on voit ou entend est sujet à interprétation.","Non","L'art est une activité humaine qui nous distingue en partie des animaux, car c'est à la base quelque chose qui ne sert pas aux besoins vitaux (manger, se loger ..), mais qui nous fait du bien, notamment pour les artistes qui exprime leurs émotions.
L'art fait par une IA aura un intérêt plus limité. Quel est l'intérêt de connaître les émotions d'une IA ?"
"2023/02/02 7:15:15 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Littérature;Cinéma","7","Oui","Seulement entendu parler. ","Non","","Non","Elle devrait rester dans le domaine de la copie "
"2023/02/02 9:59:24 PM UTC+1","30 - 39","Aucun","4","Non","","Non","","Non",""
"2023/02/06 9:25:56 PM UTC+1","18 - 25","Musique;Peinture / Dessin;Littérature;Cinéma","4","Non","","Oui","Avec une base de données elle peut reproduire des émotions comme les vrais artistes ","Non","Il n’y a pas l’âme de l’artiste "
"2023/02/06 10:13:54 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Cinéma","2","Non","","Oui","C'est une création.  Chacun éprouve une sensation selon son ressenti.","Non","L'artiste amène son émoi, son ressenti."
"2023/02/06 10:21:41 PM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature","2","Oui","Chat gpt","Oui","Car une simple couleur peut créer des émotions.","Non","Vaste question! Parce que l'artiste a une intention que l'ia n'a pas d'elle même."
"2023/02/06 10:28:57 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Littérature;Cinéma;développer des programmes informatiques ","7","Oui","Son nom m'échappe ","Non","Ce n'est ni l'IA ni l'artiste qui transmet l'émotion, c'est l'œuvre et l'histoire de celui qui regarde/écoute. ","Non","Le nombre d'artistes n'est pas limité, ce n'est donc pas l'ia ou l'artiste mais l'ia et l'artiste. "
"2023/02/06 10:51:14 PM UTC+1","18 - 25","Musique","3","Non","","Oui","Car c'est un art et tous le monde peut transmettre un message. Qu'importe si c'est une machine ou un humain.","Oui","Car c'est un art et tous le monde peut transmettre un message."
"2023/02/07 8:58:09 AM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma;Photographie Bandes dessinées ","3","Non","Mais je sais qu’il en existe capables de créer des textes. ","Oui","Je pense nous sommes touchés par des faits de vie : nature ( paysages), émotions ","Oui","Oui, l’artiste est souvent inspiré par d’autres artistes lui permettant d’accéder à sa propre création. Nous donnons les moyens à l’ia d’accéder à ce procédé. Attention je ne dis que cela me plaise, et je ne dis que surtout pas que l’ia a une intention de création et l’intention de toucher un public. Le problème est le mot remplacement : j’entends par là que oui l’ia est capable de remplacer un artiste. Si on compte avec disparition des artistes vivants à côté c’est une autre chose : les artistes vivants arriveront à créer des choses totalement nouvelles là où l’ia restera limitée par l’apport qu’elle aura du vivant. "
"2023/02/08 8:56:35 PM UTC+1","50 - 59","Musique;Cinéma","0","Non","","","","",""
"2023/02/08 10:20:49 PM UTC+1","40 - 49","Littérature;Cinéma","3","Non","","Non","","Non",""
"2023/02/08 10:23:03 PM UTC+1","40 - 49","Cinéma","0","Non","","Non","Pas réelle","Non","Pas d’émotion "
"2023/02/17 9:08:53 PM UTC+1","50 - 59","Littérature;Cinéma","2","Oui","Celle qui a reproduit des oeuvrrs originales de van goog.","Non","C'est le spectateur qui a une emotion","Non","Une IA peut elle créer? Je ne pense pas: elle reproduit  fait à la façon de, mais sera t elle capable de créer une nouvelle technique type impressionnisme ou pointillisme?"
"2023/02/17 9:40:14 PM UTC+1","50 - 59","Musique;Littérature","1","Non","","Non","L'émotion est rop subjective.","Non","Une seule oeuvre peut-être. Un ensemble d'oeuvres sera plus diversifié chez l'artiste."